QA	SEEDEKULGLA JA AINEVAHETUS	ALIMENTARY TRACT AND METABOLISM
QD02AX84	ihtammool	Ichtammol
QD02AX85	akrülaatkopolümeer+etüülatsetaat+Scrubbing õli+solkane	Acrylate copolymer+Ethyl acetate+Scrubbing oil+Solkane
QD02B	UV-KIIRGUSE EEST KAITSVAD AINED	PROTECTIVES AGAINST UV-RADIATION
QD02BA	UV-kiirguse eest kaitsvad preparaadid paikseks kasutamiseks	Protectives against UV-radiation for topical use
QD02BB	UV-kiirguse eest kaitsvad preparaadid süsteemseks kasutamiseks	Protectives against UV-radiation for systemic use
QD03	PREPARAADID HAAVADE JA HAAVANDITE RAVIKS	PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS
QD03A	ARMISTUMIST SOODUSTAVAD AINED	CICATRIZANTS
QD03AA	Tursamaksaõlisalvid	Cod-liver oil ointments
QD03AX	Teised armistumist soodustavad ained	Other cicatrizants
QD03AX80	vask+tsink	Copper+Zinc
QD03AX83	vaseliin, valge+poliheksaniid+glütserool+etanool+stearüülalkohol+POE-stearaat	Paraffin, white soft+Polihexanide+Glycerol+Ethanol+Stearyl alcohol+POE stearate
QD03AX85	tokoferool+pantenool	Tocopherol+Panthenol
QD03AX90	ketanseriin	Ketanserin
QD03B	ENSÜÜMID	ENZYMES
QD03BA	Proteolüütilised ensüümid	Proteolytic enzymes
QD03BA80	trüpsiin+papaiin+alfatokoferool+retinool+kümotrüpsiin	Trypsin+Papain+Alpha - tocopherol+Retinol+Chymotrypsin
QD04	SÜGELUSVASTASED AINED, K.A ANTIHISTAMIINSED AINED, ANESTEETIKUMID JT	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.
QD04A	SÜGELUSVASTASED AINED, K.A ANTIHISTAMIINSED AINED, ANESTEETIKUMID JT	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.
QD04AA	Antihistamiinsed ained paikseks kasutamiseks	Antihistamines for topical use
QD04AB	Lokaalanesteetikumid	Anesthetics for topical use
QD04AB01	lidokaiin	Lidocaine
QD04AB81	lidokaiin+bensalkooniumkloriid	Lidocaine+Benzalkonium chloride
QD04AX	Teised sügelusvastased ained	Other antipruritics
QD06	ANTIBIOOTIKUMID JA KEMOTERAPEUTIKUMID DERMATOLOOGILISEKS KASUTAMISEKS	ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE
QD06A	ANTIBIOOTIKUMID PAIKSEKS KASUTAMISEKS	ANTIBIOTICS FOR TOPICAL USE
QD06AA	Tetratsükliin ja selle derivaadid	Tetracycline and derivatives
QD06AA02	kloortetratsükliin	Chlortetracycline
QD06AA03	oksütetratsükliin	Oxytetracycline
QD06AA80	kloortetratsükliin+lidokaiin	Chlortetracycline+Lidocaine
QD06AA81	oksütetratsükliin+metüülrosaniliiniumkloriid	Oxytetracycline+Methylrosanilinium chloride
QD06AX	Teised antibiootikumid paikseks kasutamiseks	Other antibiotics for topical use
QD06AX11	rifaksimiin	Rifaximin
QD06B	KEMOTERAPEUTIKUMID PAIKSEKS KASUTAMISEKS	CHEMOTHERAPEUTICS FOR TOPICAL USE
QD06BB	Viirusvastased ained	Antivirals
QD06BX	Teised kemoterapeutikumid	Other chemotherapeutics
QD06C	ANTIBIOOTIKUMIDE JA KEMOTERAPEUTIKUMIDE KOMBINATSIOONID	ANTIBIOTICS AND CHEMOTHERAPEUTICS, COMBINATIONS
QD07	KORTIKOSTEROIDID DERMATOLOOGILISEKS KASUTAMISEKS	CORTICOSTEROIDS, DERMATOLOGICALS PREPARATIONS
QD07A	KORTIKOSTEROIDID	CORTICOSTEROIDS, PLAIN
QD07AA	Kortikosteroidid, nõrgad (I rühm)	Corticosteroids, weak (groupI)
QD07AB	Kortikosteroidid, mõõduka tugevusega (II rühm)	Corticosteroids, moderately potent (group II)
QD07AC	Kortikosteroidid, tugevad (III rühm)	Corticosteroids, potent (group III)
QD07AC16	hüdrokortisoonatseponaat	Hydrocortisone aceponate
QD07AC90	resokortoolbutüraat	Resocortol butyrate
QD07AD	Kortikosteroidid, väga tugevad (IV rühm)	Corticosteroids, very potent (group IV)
QD07B	KORTIKOSTEROIDIDE JA ANTISEPTILISTE AINETE KOMBINATSIOONID	CORTICOSTEROIDS, COMBINATIONS WITH ANTISEPTICS
QD07BA	Kortikosteroidid, nõrgad, kombinatsioonid antiseptiliste ainetega	Corticosteroids, weak, combinations with antiseptics
QD07BB	Kortikosteroidid, mõõduka tugevusega, kombinatsioonid antiseptiliste ainetega	Corticosteroids, moderately potet, combinations with antiseptics
QD07BC	Kortikosteroidid, tugevad, kombinatsioonid antiseptiliste ainetega	Corticosteroids, potent, combinations with antiseptics
QD07BD	Kortikosteroidid, väga tugevad, kombinatsioonid antiseptiliste ainetega	Corticosteroids, very potent, combinations with antisptics
QD07C	KORTIKOSTEROIDIDE JA ANTIBIOOTIKUMIDE KOMBINATSIOONID	CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS
QD07CA	Korikosteroidid, nõrgad, kombinatsioonid antibiootikumidega	Corticosteroids, weak, combinations with antibiotics
QD07CA80	prednisoloon+mikonasool+polümüksiin B	Prednisolone+Miconazole+Polymyxin B
QD07CA81	prednisoloon+neomütsiin	Prednisolone+Neomycin
QD07CA83	heksetidiin+prednisoloon+bensokaiin	Hexetidine+Prednisolone+Benzocaine
QD07CA85	prednisoloon+nitrofuraal+neomütsiin+klorofüll	Prednisolone+Nitrofural+Neomycin+Chlorophyll
QD07CA86	prednisoloon+klooramfenikool+skvalaan+tetrakaiin	Prednisolone+Chloramphenicol+Squalane+Tetracaine
QD07CB	Kortikosteroidid, mõõduka tugevusega, kombinatsioonid antibiootikumidega	Corticosteroids, moderately potent, combinations with antibiotics
QD07CB80	triamtsinoloon+salitsüülhape+gentamütsiin+karbetopendetsiin	Triamcinolone+Salicylic acid+Gentamicin+Carbethopendecin
QD07CB81	deksametasoon+mepüramiin+kanamütsiin+undetsüleenhape+tsinkoksiid	Dexamethasone+Mepyramine+Kanamycin+Undecylenic acid+Zinc oxide
QD07CB82	deksametasoon+neomütsiin+dekspantenool+tsüsteiin	Dexamethasone+Neomycin+Dexpanthenol+Cysteine
QD07CB83	triamtsinoloon+neomütsiin+nüstatiin+tiostreptoon	Triamcinolone+Neomycin+Nystatin+Thiostrepton
QD07CC	Kortikosteroidid, tugevad, kombinatsioonid antibiootikumidega	Corticosteroids, potent, combinations with antibiotics
QD07CC01	beetametasoon+fusidiinhape	Betamethasone+Fusidic acid
QD07CD	Kortikosteroidid, väga tugevad, kombinatsioonid antibiootikumidega	Corticosteroids, very potent, combinations with antibiotics
QD07X	TEISED KORTIKOSTEROIDIDE KOMBINATSIOONID	CORTICOSTEROIDS, OTHER COMBINATIONS
QD07XA	Kortikosteroidid, nõrgad, teised kombinatsioonid	Corticosteroids, weak, other combinations
QD07XA80	prednisoloon+bensokaiin+heksetidiin	Prednisolone+Benzocaine+Hexetidine
QD07XB	Kortikosteroidid, mõõduka tugevusega, teised kombinatsioonid	Corticosteroids, moderately potent, other combinations
QD07XC	Kortikosteroidid, tugevad, teised kombinatsioonid	Corticosteroids, potent, other combinations
QD07XD	Kortikosteroidid, väga tugevad, teised kombinatsioonid	Corticosteroids, very potent,  other combinations
QD08	ANTISEPTILISED JA DESINFITSEERIVAD AINED	ANTISEPTICS AND DISINFECTANTS
QD08A	ANTISEPTILISED JA DESINFITSEERIVAD AINED	ANTISEPTICS AND DISINFECTANTS
QD08AA	Akridiini derivaadid	Acridine derivatives
QD08AB	Alumiiniumiühendid	Aluminium agents
QD08AC	Biguaniidid ja amidiinid	Biguanides and amidines
QD08AC02	kloorheksidiin	Chlorhexidine
QD08AC80	kloorheksidiin+mikonasool	Chlorhexidine+Miconazole
QD08AD	Boorhappepreparaadid	Boric acid products
QD08AE	Fenool ja selle derivaadid	Phenol and derivatives
QD08AE02	polikresuleen	Policresulen
QD08AF	Nitrofuraani derivaadid	Nitrofuran derivatives
QD08AG	Joodipreparaadid	Iodine products
QD08AG02	joodpovidoon	Povidone, iodinated
QD08AG03	jood	Iodine
QD08AH	Kinoliini derivaadid	Quinoline derivatives
QD08AJ	Kvaternaarsed ammooniumiühendid	Quaternary ammonium compounds
QD08AJ01	bensalkooniumkloriid	Benzalkonium chloride
QD08AJ81	ammooniumkloriid+naatriumhüdroksiid	Ammonium chloride+Sodium hydroxide
QD08AK	Elavhõbedaühendid	Mercurial products
QD08AL	Hõbedaühendid	Silver compounds
QD08AX	Teised antiseptilised ja desinfitseerivad ained	Other antiseptics and disinfectants
QD08AX86	karbetopendetsiinbromiid	Carbethopen-decinium bromide
QD08AX87	kaaliummonopersulfaat	Potassium monopersulphate
QD09	RAVIMSIDUMISMATERJAL	MEDICATED DRESSINGS
QD09A	RAVIMSIDUMISMATERJAL	MEDICATED DRESSINGS
QD09AA	Infektsioonivastaste ainetega ravimsidumismaterjalid	Medicated dressings with antiinfectives
QD09AB	Tsinki sisaldav haavaside	Zinc bandages
QD09AX	Vaseliiniga sidumismaterjal	Soft paraffin dressings
QD11	TEISED DERMATOLOOGILISED PREPARAADID	OTHER DERMATOLOGICAL PREPARATIONS
QD11A	TEISED DERMATOLOOGILISED PREPARAADID	OTHER DERMATOLOGICAL PREPARATIONS
QD11AA	Higistamisvastased ained	Antihidrotics
QD11AC	Ravišampoonid	Medicated shampoos
QD11AC06	joodpovidoon	Povidone, iodinated
QD11AC81	heksetidiin	Hexetidine
QD11AC82	fenoksüetanool+naatriumlaurüülsulfaat+TEA-alküülsulfaat+hüetelloos+kollageen	Phenoxyethanol+Sodium laurilsulfate+TEA alkyl sulphate+Hyetcellose+Collagen
QD11AC83	fenoksüetanool+glütserool+naatriumtsitraat+tee-melaleuka	Phenoxyethanol+Glycerol+Sodium citrate+Melaleuca alternifolia
QD11AC84	fenoksüetanool+naatriumlaurüülsulfaat+dietanoolamiidfusidaat	Phenoxyethanol+Sodium laurilsulfate+Diethanolamide fusidate
QD11AC85	fenoksüetanool+allantoiin+naatriumlaurüülsulfaat	Phenoxyethanol+Allantoin+Sodium laurilsulfate
QD11AC88	piimhape+glütserool+mikroniseeritud kaerapulber	Lactic acid+Glycerol+Micronised oat flour
QD11AE	Androgeenid paikseks kasutamiseks	Androgens for topical use
QD11AF	Soolatüüka- ja konnasilmavastased preparaadid	Wart and anti-corn preparations
QD11AX	Teised dermatoloogilised preparaadid	Other dermatologicals
QD11AX81	ketanseriin	Ketanserin
QD11AX82	piparmündiõli+polüsorbaat+PEG-40 hüdrogeenitud kastoorõli	Peppermint oil+Polysorbate+PEG-40 hydrogenated castor oil
QD11AX83	vaskglükonaat+retinool+tokoferool+askorbiinhape+kolekaltsiferool	Copper gluconate+Retinol+Tocopherol+Ascorbic acid+Colecalciferol
QD51	KAPJADE JA SÕRGADE RAVIKS KASUTATAVAD AINED	PRODUCTS FOR THE TREATMENT OF CLAWS AND HOOFS
QD51A	KAPJADE JA SÕRGADE RAVIKS KASUTATAVAD AINED	PRODUCTS FOR THE TREATMENT OF CLAWS AND HOOFS
QD51AA	KAPJADE JA SÕRGADE RAVIKS KASUTATAVAD AINED	PRODUCTS FOR THE TREATMENT OF CLAWS AND HOOFS
QD51AA81	retinool+tokoferool+kolekaltsiferool+parafiin, vedel+valge vaha+tsetüülalkohol+kosmeetiline õli+eeterlikud õlid	Retinol+Tocopherol+Colecalciferol+Paraffin, liquid+White wax+Cetyl alcohol+Cosmetic oils+Ethereal oils
QD51AA82	tõrv+vasksulfaat+jood	Tar+Copper sulphate+Iodine
QD51AA83	pöögitõrv	Beech tar
QG	UROGENITAALSÜSTEEM JA SUGUHORMOONID	GENITO URINARY SYSTEM AND SEX HORMONES
QG01	GÜNEKOLOOGIAS KASUTATAVAD ANTISEPTILISED JA INFEKTSIOONIVASTASED AINED	GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS
QG01A	INFEKTSIOONIVASTASED JA ANTISEPTILISED AINED, V.A KOMBINATSIOONID KORTIKOSTEROIDIDEGA	ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS
QG01AA	Antibiootikumid	Antibiotics
QG01AB	Arseeniühendid	Arsenic compounds
QG01AC	Kinoliini derivaadid	Quinoline derivatives
QG01AD	Orgaanilised happed	Organic acids
QG01AD80	jää-äädikhape+naatriumatsetaattrihüdraat	Acetic acid, glacial+Sodium acetate trihydrate
QG01AE	Sulfoonamiidid	Sulfonamides
QG01AF	Imidasooli derivaadid	Imidazole derivatives
QG01AG	Triasooli derivaadid	Triazole derivatives
QG01AX	Teised infektsioonivastased ja antiseptilised ained	Other antiinfectives and antiseptics
QG01B	INFEKTSIOONIVASTASTE JA ANTISEPTILISTE AINETE KOMBINATSIOONID KORTIKOSTEROIDIDEGA	ANTIINFECTIVES/ANTISEPTICS IN COMBINATION WITH CORTICOSTEROIDS
QG01BA	Antibiootikumid ja kortikosteroidid	Antibiotics and corticosteroids
QG01BC	Kinoliini derivaadid ja kortikosteroidid	Quinoline derivatives and corticosteroids
QG01BD	Antiseptilised ained ja kortikosteroidid	Antiseptics and corticosteroids
QG01BE	Sulfoonamiidid ja kortikosteroidid	Sulfonamides and corticosteroids
QG01BF	Imidasooli derivaadid ja kortikosteroidid	Imidazole derivatives and corticosteroids
QG02	TEISED GÜNEKOLOOGIAS KASUTATAVAD AINED	OTHER GYNECOLOGICALS
QG02A	EMAKASSE TOIMIVAD AINED	OXYTOCICS
QG02AB	Tungaltera alkaloidid	Ergot alkaloids
QG02AC	Tungaltera alkaloidide ja oksütotsiini (k.a selle analoogide) kombinatsioonid	Ergot alkaloids and oxytocin incl. analogues, in combination
QG02AC90	ergometriin+oksütotsiin	Ergometrine+Oxytocin
QG02AD	Prostaglandiinid	Prostaglandins
QG02AD01	dinoprost	Dinoprost
QG02AD90	kloprostenool	Cloprostenol
QG02AD91	luprostiool	Luprostiol
QG02AX	Teised emakasse toimivad ained	Other oxytocics
QG02C	TEISED GÜNEKOLOOGIAS KASUTATAVAD AINED	OTHER GYNECOLOGICALS
QG02CA	Sünnitegevust pärssivad sümpatomimeetikumid	Sympathomimetics, labour repressants
QG02CB	Prolaktiini inhibiitorid	Prolactine inhibitors
QG02CB03	kabergoliin	Cabergoline
QG02CC	Põletikuvastased ained vaginaalseks kasutamiseks	Antiinflammatory products for vaginal administration
QG02CX	Teised günekoloogilised preparaadid	Other gynecologicals
QG02CX82	tungalteraekstrakt+kiniofoon+efedriin+naatriumsalitsülaat	Extractum secalis cornuti+Chiniofon+Ephedrine+Sodium salicylate
QG02CX90	denaveriin	Denaverine
QG03	SUGUHORMOONID JA GENITAALSÜSTEEMI MODULAATORID	SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
QG03A	HORMONAALSED KONTRATSEPTIIVID SÜSTEEMSEKS KASUTAMISEKS	HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE
QG03AA	Gestageenide ja östrogeenide fikseeritud kombinatsioonid	Progestogens and estrogens, fixed combinations
QG03AB	Gestageenide ja östrogeenide muutuvad kombinatsioonid	Progestogens and estrogens, sequential products
QG03AC	Gestageenid	Progestogens
QG03AC05	megestrool	Megestrol
QG03AC06	medroksüprogesteroon	Medroxyprogesterone
QG03B	ANDROGEENID	ANDROGENS
QG03BA	3-oksoandrosteen-4-derivaadid	3-oxoandrosten (4) derivatives
QG03BB	5-androstanoon-3-derivaadid	5-androstanon (3) derivatives
QG03C	ÖSTROGEENID	ESTROGENS
QG03CA	Looduslikud ja poolsünteetilised östrogeenid	Natural and semisynthetic estrogens, plain
QG03CA03	östradiool	Estradiol
QG03CA04	östriool	Estriol
QG03CA80	östradiool+norgestomeet	Estradiol+Norgestomet
QG03CB	Sünteetilised östrogeenid	Synthetic estrogens, plain
QG03CC	Östrogeenide kombinatsioonid teiste ainetega	Estrogens, combinations with other drugs
QG03D	GESTAGEENID	PROGESTOGENS
QG03DA	Pregneen-4-derivaadid	Pregnen (4) derivatives
QG03DA02	medroksüprogesteroon	Medroxyprogesterone
QG03DA04	progesteroon	Progesterone
QG03DA80	kronoloon	Cronolone
QG03DA90	proligestoon	Proligestone
QG03DB	Pregnadieeni derivaadid	Pregnadien derivatives
QG03DC	Östreeni derivaadid	Estren derivatives
QG03DX	Teised gestageenid	Other progestogens
QG03DX90	altrenogest	Altrenogest
QG03E	ANDROGEENIDE JA NAISSUGUHORMOONIDE KOMBINATSIOONID	ANDROGENS AND FEMALE SEX HORMONES IN COMBINATION
QG03EA	Androgeenid ja östrogeenid	Androgens and estrogens
QG03EB	Androgeenide, gestageenide ja östrogeenide kombinatsioonid	Androgen, progestogen and estrogen in combination
QG03F	GESTAGEENIDE JA ÖSTROGEENIDE KOMBINATSIOONID	PROGESTOGENS AND ESTROGENS IN COMBINATION
QG03FA	Gestageenide ja östrogeenide kombinatsioonid	Progestogens and estrogens, combinations
QG03FB	Gestageenide ja östrogeenide muutuvad kombinatsioonid	Progestogens and estrogens, sequential preparations
QG03G	GONADOTROPIINID JA TEISED OVULATSIOONI STIMULEERIVAD AINED	GONADOTROPINS AND OTHER OVULATION STIMULANTS
QG03GA	Gonadotropiinid	Gonadotropins
QG03GA01	kooriongonadotropiin	Chorionic gonadotrophin
QG03GA03	seerumgonadotropiin	Serum gonadotrophin
QG03GA05	alfafollitropiin	Follitropin alfa
QG03GA80	kooriongonadotropiin+seerumgonadotropiin	Chorionic gonadotrophin+Serum gonadotrophin
QG03GA82		0
QG03GA90	folliikulit stimuleeriv hormoon	Follicle Stimulating Hormone
QG03GB	Sünteetilised ovulatsiooni stimuleerivad ained	Ovulation stimulants, synthetic
QG03H	ANTIANDROGEENID	ANTIANDROGENS
QG03HA	Antiandrogeenid	Antiandrogens, plain
QG03HB	Antiandrogeenid ja östrogeenid	Antiandrogens and estrogens
QG03X	TEISED SUGUHORMOONID JA GENITAALSÜSTEEMI MODULAATORID	OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
QG03XA	Antigonadotropiinid ja sarnased ained	Antigonadotropins and similar agents
QG03XA91	GnRF analoogvalgu konjugaat	GnRF analogue-protein conjugate
QG03XB	Antigestageenid	Antiprogestogens
QG03XB90	aglepristoon	Aglepristone
QG03XC	Selektiivsed östrogeeni retseptorite modulaatorid	Selective estrogen receptor modulators
QG04	UROLOOGIAS KASUTATAVAD AINED	UROLOGICALS
QG04B	UROLOOGIAS KASUTATAVAD AINED	UROLOGICALS
QG04BA	Happesuse reguleerijad	Acidifers
QG04BA80	metenamiin+naatriumfosfaathape	Methenamine+Sodium acid phosphate
QG04BC	Kusteede kivide lahustajad	Urinary concrement solvents
QG04BD	Sagekusesuse ning kusepidamatuse raviks kasutatavad ained	Drugs for urinary frequency and incontinence
QG04BE	Erektsioonihäirete korral kasutatavad ained	Drugs used in erectile dysfunction
QG04BQ	Uriini leelistajad	Urinary alkalizers
QG04BX	Teised uroloogias kasutatavad ained	Other urologicals
QG04BX91	fenüülpropanoolamiin	Phenylpropanolamine
QG04C	EESNÄÄRME HEALOOMULISE HÜPERTROOFIA KORRAL KASUTATAVAD AINED	DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY
QG04CA	Alfaadrenoretseptorite antagonistid	Alpha-adrenoreceptor antagonists
QG04CB	Testosteroon-5-alfareduktaasi inhibiitorid	Testosterone-5-alpha reductase inhibitors
QG04CX	Teised eesnäärme healoomulise hüpertroofia korral kasutatavad ained	Other drugs used in benign prostatic hypertrophy
QG04CX90	osateroon	Osaterone
QG51	INFEKTSIOONIVASTASED JA ANTISEPTILISED AINED INTRAUTERIINSEKS KASUTAMISEKS	ANTIINFECTIVES AND ANTISEPTICS FOR INTRAUTERINE USE
QG51A	INFEKTSIOONIVASTASED JA ANTISEPTILISED AINED INTRAUTERIINSEKS KASUTAMISEKS	ANTIINFECTIVES AND ANTISEPTICS FOR INTRAUTERINE USE
QG51AA	Antibakteriaalsed ained	Antibacterials
QG51AA01	oksütetratsükliin	Oxytetracycline
QG51AA03	amoksitsilliin	Amoxicillin
QG51AA04	gentamütsiin	Gentamicin
QG51AA05	tsefapiriin	Cefapirin
QG51AA06	rifaksimiin	Rifaximin
QG51AA30	gentamütsiin+prokaiinbensüülpenitsilliin	Gentamicin+Procaine benzylpenicillin
QG51AA80	kloortetratsükliin	Chlortetracycline
QG51AA82	oksütetratsükliin+neomütsiin+hüdroksükinoliinsulfaat+koliinkloriidkarbamaat	Oxytetracycline+Neomycin+Hydroxyqinoline sulphate+Choline chloride carbamate
QG51AA83	oksütetratsükliin+sulfamonometoksiin	Oxytetracycline+Sulfamonomethoxine
QG51AA85	neomütsiin+furaltadoon+bensalkooniumkloriid	Neomycin+Furaltadone+Benzalkonium chloride
QG51AD	Antiseptilised ained	Antiseptics
QG51AD01	joodpovidoon	Povidone, iodinated
QG51AD02	polikresuleen	Policresulen
QG51AD52	polümetüleenmetakresoolsulfoonhape	Poly-methylene-meta- cresolsulfonic acid
QG51AD80	uurea	Urea
QG51AG	Infektsioonivastased ja/või antiseptilised ained, kombinatsioonid intrauteriinseks kasutamiseks	Antiinfectives and/or antiseptics, combinations for intrauterine use
QG51AG06	oksütetratsükliin+neomütsiin	Oxytetracycline+Neomycin
QG51AG07	ampitsilliin+kolistiin	Ampicillin+Colistin
QG51B	INFEKTSIOONIVASTASTE JA ANTISEPTILISTE AINETE KOMBINATSIOONID INTRAUTERIINSEKS KASUTAMISEKS	ANTIINFECTIVES/ANTISEPTICS FOR INTRAUTERIN USE, COMBINATIONS
QG51BA	Antibiootikumide kombinatsioonid teiste ainetega	Antibiotics, combinations with other substances
QG51BD	Antiseptiliste ainete kombinatsioonid teiste ainetega	Antiseptics, combinations with other substances
QG51BE	Sulfoonamiidide kombinatsioonid teiste ainetega	Sulfonamides, combinations with other substances
QG52	AINED UDARALE JA NISADELE	PRODUCTS FOR TEATS AND UDDER
QG52A	DESINFEKTANDID	DISINFECTANTS
QG52AA	Desinfektandid	Disinfectants
QG52AA80	jood	Iodine
QG52AA81	lidokaiin+kloorheksidiin+allantoiin	Lidocaine+Chlorhexidine+Allantoin
QG52AA82	bensoksooniumkloriid	Benzoxonium chloride
QG52AA83	naatriumdikloroisotsüanuraat	Sodium dichloroisocyanurate
QG52X	ERINEVAD AINED UDARALE JA NISADELE	VARIOUS PRODUCTS FOR TEATS AND UDDER
QG52XX	Erinevad ained udarale ja nisadele	Various products for teats and udder
QG52XX80	vismutsubnitraat	Bismuth subnitrate
QG52XX81	salitsüülhape	Salicylic acid
QH	SÜSTEEMSED HORMOONPREPARAADID, V.A SUGUHORMOONID JA INSULIINID	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
QH01	HÜPOFÜÜSI JA HÜPOTALAMUSE HORMOONID JA NENDE ANALOOGID	PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES
QH01A	HÜPOFÜÜSI EESSAGARA HORMOONID JA NENDE ANALOOGID	ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES
QH01AA	Adrenokortikotroopne hormoon (AKTH)	ACTH
QH01AB	Türeotropiin	Thyrothropin
QH01AC	Somatotropiin ja selle agonistid	Somatropin and somatropin agonists
QH01AX	Teised hüpofüüsi eessagara hormoonid ja nende analoogid	Other anterior pituitary hormones and analogues
QH01B	HÜPOFÜÜSI TAGASAGARA HORMOONID	POSTERIOR PITUITARY LOBE HORMONES
QH01BA	Vasopressiin ja selle analoogid	Vasopressin and analogues
QH01BB	Oksütotsiin ja selle analoogid	Oxytocin and analogues
QH01BB02	oksütotsiin	Oxytocin
QH01BB03	karbetotsiin	Carbetocin
QH01C	HÜPOTALAMUSE HORMOONID	HYPOTHALAMIC HORMONES
QH01CA	Gonadotropiini vabastavad hormoonid	Gonadotropin-releasing hormones
QH01CA01	gonadoreliin	Gonadorelin
QH01CA90	busereliin	Buserelin
QH01CA92	letsireliin	Lecirelin
QH01CA93	desloreliin	Deslorelin
QH01CA94	asaglü-nafareliin	Azagly-nafarelin
QH01CA95	peforeliin	Peforelin
QH01CB	Somatostatiin ja selle analoogid	Somatostatin and analogues
QH01CC	Antigonadotropiini vabastavad hormoonid	Anti-gonadotropin-releasing hormones
QH02	KORTIKOSTEROIDID SÜSTEEMSEKS KASUTAMISEKS	CORTICOSTEROIDS FOR SYSTEMIC USE
QH02A	KORTIKOSTEROIDID SÜSTEEMSEKS KASUTAMISEKS	CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN
QH02AA	Mineralokortikoidid	Mineralocorticoids
QH02AB	Glükokortikoidid	Glucocorticoids
QH02AB02	deksametasoon	Dexamethasone
QH02AB04	metüülprednisoloon	Methylprednisolone
QH02AB06	prednisoloon	Prednisolone
QH02AB31	deksametasoon+prednisoloon	Dexamethasone+Prednisolone
QH02AB81	isoflupredoon	Isoflupredone
QH02AB82	prednisoloon+hüdroksüsiin	Prednisolone+Hydroxyzine
QH02B	KORTIKOSTEROIDID SÜSTEEMSEKS KASUTAMISEKS, KOMBINATSIOONID	CORTICOSTEROIDS FOR SYSTEMIC USE, COMBINATIONS
QH02BX	Kortikosteroidide kombinatsioonid süsteemseks kasutamiseks	Corticosteroids for systemic use, combinations
QH02C	NEERUPEALISE TALITLUST PÄRSSIVAD PREPARAADID	ANTIADRENAL PREPARATIONS
QH02CA	Antikortikosteroidid	Anticorticosteroids
QH02CA01	trilostaan	Trilostane
QH03	KILPNÄÄRME RAVI	THYROID THERAPY
QH03A	KILPNÄÄRME PREPARAADID	THYROID PREPARATIONS
QH03AA	Kilpnäärme hormoonid	Thyroid hormones
QH03B	KILPNÄÄRME TALITLUST PÄRSSIVAD PREPARAADID	ANTITHYROID PREPARATIONS
QH03BA	Tiouratsiilid	Thiouracils
QH03BB	Väävlit sisaldavad imidasooli derivaadid	Sulfur-containing imidazole derivatives
QH03BB02	tiamasool	Thiamazole
QH03BC	Perkloraadid	Perchlorates
QH03BX	Teised kilpnäärme talitlust pärssivad preparaadid	Other antithyroid preparations
QH03C	JOODRAVI	IODINE THERAPY
QH03CA	Joodravi	Iodine therapy
QH04	PANKREASE HORMOONID	PANCREATIC HORMONES
QH04A	GLÜKOGENOLÜÜTILISED HORMOONID	GLYCOGENOLYTIC HORMONES
QH04AA	Glükogenolüütilised hormoonid	Glycogenolytic hormones
QH05	KALTSIUMI HOMÖOSTAAS	CALCIUM HOMEOSTASIS
QH05A	KÕRVALKILPNÄÄRME HORMOONID JA NENDE ANALOOGID	PARATHYROID HORMONES AND ANALOGUES
QH05AA	Kõrvalkilpnäärme hormoonid ja nende analoogid	Parathyroid hormones and analogues
QH05B	KÕRVALKILPNÄÄRME TALITLUST PÄRSSIVAD AINED	ANTI-PARATHYROID AGENTS
QH05BA	Kaltsitoniinipreparaadid	Calcitonin preparations
QI	IMMUNOLOOGILISED AINED	IMMUNOLOGICALS
QI01	IMMUNOLOOGILISED AINED LINDUDELE	IMMUNOLOGICALS FOR AVES
QI01A	KODULINNUD	DOMESTIC FOWL
QI01AA	Inaktiveeritud viirusvaktsiinid	Inactivated viral vaccines
QI01AA01	lindude nakkava bursiidi (Gumboro) viirusvaktsiin	Av. inf. bursal (Gumboro) disease virus vaccine
QI01AA02	Newcastle'i tõve viirus-/paramüksoviirusvaktsiin	Newcastle disease virus/paramyxovirus vaccine
QI01AA03	lindude nakkava bronhiidi viirusvaktsiin	Avian infectious bronchitis virus vaccine
QI01AA04	lindude reoviirusvaktsiin	Avian reovirus vaccine
QI01AA05	lindude adenoviirusvaktsiin	Avian adenovirus vaccine
