A	SEEDEKULGLA JA AINEVAHETUS	ALIMENTARY TRACT AND METABOLISM
J05AE02	indinaviir	Indinavir
J05AE03	ritonaviir	Ritonavir
J05AE04	nelfinaviir	Nelfinavir
J05AE05	amprenaviir	Amprenavir
J05AE06	lopinaviir	Lopinavir
J05AE07	fosamprenaviir	Fosamprenavir
J05AE08	atasanaviir	Atazanavir
J05AE09	tipranaviir	Tipranavir
J05AE10	darunaviir	Darunavir
J05AE11	telapreviir	Telaprevir
J05AE12	botsepreviir	Boceprevir
J05AF	Nukleosiidsed ja nukleotiidsed pöördtranskriptaasi inhibiitorid	Nucleoside and nucleotide reverse transcriptase inhibitors
J05AF01	zidovudiin	Zidovudine
J05AF02	didanosiin	Didanosine
J05AF03	zaltsitabiin	Zalcitabine
J05AF04	stavudiin	Stavudine
J05AF05	lamivudiin	Lamivudine
J05AF06	abakaviir	Abacavir
J05AF07	tenofoviirdisoproksiil	Tenofovir disoproxil
J05AF08	adefoviir	Adefovir
J05AF09	emtritsitabiin	Emtricitabine
J05AF10	entekaviir	Entecavir
J05AF11	telbivudiin	Telbivudine
J05AG	Mittenukleosiidsed pöördtranskriptaasi inhibiitorid	Non-nucleoside reverse transcriptase inhibitors
J05AG01	nevirapiin	Nevirapine
J05AG03	efavirens	Efavirenz
J05AG04	etraviriin	Etravirine
J05AG05	rilpiviriin	Rilpivirine
J05AH	Neuraminidaasi inhibiitorid	Neuraminidase inhibitors
J05AH01	zanamiviir	Zanamivir
J05AH02	oseltamiviir	Oseltamivir
J05AR	Viirusvastaste ainete kombinatsioonid HIV-infektsiooni raviks	Antivirals for treatment of HIV infections, combinations
J05AR01	zidovudiin+lamivudiin	Zidovudine+Lamivudine
J05AR02	lamivudiin+abakaviir	Lamivudine+Abacavir
J05AR03	tenofoviirdisoproksiil+emtritsitabiin	Tenofovir disoproxil+Emtricitabine
J05AR04	zidovudiin+lamivudiin+abakaviir	Zidovudine+Lamivudine+Abacavir
J05AR06	emtritsitabiin+tenofoviirdisoproksiil+efavirens	Emtricitabine+Tenofovir disoproxil+Efavirenz
J05AR08	emtritsitabiin+tenofoviirdisoproksiil+rilpiviriin	Emtricitabine+Tenofovir disoproxil+Rilpivirine
J05AR10	lopinaviir+ritonaviir	Lopinavir+Ritonavir
J05AX	Teised viirusvastased ained	Other antivirals
J05AX00	PUUDU_EESTI	PUUDU_INGLISE
J05AX01	moroksüdiin	Moroxydine
J05AX05	inosiinpranobeks	inosine pranobex
J05AX07	enfuvirtiid	Enfuvirtide
J05AX08	raltegraviir	Raltegravir
J05AX09	maravirok	Maraviroc
J06	IMMUUNSEERUMID JA IMMUNOGLOBULIINID	IMMUNE SERA AND IMMUNOGLOBULINS
J06A	IMMUUNSEERUMID	IMMUNE SERA
J06AA	Immuunseerumid	Immune sera
J06AA01	difteeria antitoksiin	Diphtheria antitoxin
J06AA03	maomürgi antiseerum	Snake venom antiserum
J06AA04	botuliini antitoksiin	Botulinum antitoxin
J06B	IMMUNOGLOBULIINID	IMMUNOGLOBULINS
J06BA	Inimese normaalimmunoglobuliinid	Immunoglobulins, normal human
J06BA01	immunoglobuliin, ekstravaskulaarseks kasutamiseks	Immunoglobulins, normal human, for extravascular a
J06BA02	immunoglobuliin, intravaskulaarseks kasutamiseks	Immunoglobulins, normal human, for intravascular a
J06BB	Spetsiifilised immunoglobuliinid	Specific immunoglobulins
J06BB01	anti-D humaanimmunoglobuliin	Human Anti-D Immunoglobulin
J06BB02	teetanuse immunoglobuliin	Tetanus immunoglobulin
J06BB03	tuulerõugete immunoglobuliin	Varicella zoster immunoglobulin
J06BB04	hepatiit B immunoglobuliin	Hepatitis B immunoglobulin
J06BB05	marutõve immunoglobuliin	Rabies immunoglobulin
J06BB06	punetiste immunoglobuliin	Rubella immunoglobulin
J06BB09	tsütomegaloviiruste immunoglobuliin	Cytomegalovirus immunoglobulin
J06BB16	palivizumab	Palivizumab
J06BB80	puukentsefaliidi antikehad	Encephalitis, tick borne, antibody
J06BC	Teised immunoglobuliinid	Other immunoglobulins
J06BC01	nebakumab	Nebacumab
J07	VAKTSIINID	VACCINES
J07A	BAKTERIAALSED VAKTSIINID	BACTERIAL VACCINES
J07AC	Siberi katku vaktsiinid	Anthrax vaccines
J07AC01	siberi katku antigeen	Anthrax antigen
J07AD	Brutselloosivaktsiinid	Brucellosis vaccines
J07AE	Kooleravaktsiinid	Cholera vaccines
J07AE01	koolera tekitaja, inaktiveeritud, kogurakk	Cholera, inactivated, whole cell
J07AE02	koolera tekitaja, elus, nõrgestatud	Cholera, live attenuated
J07AF	Difteeriavaktsiinid	Diphtheria vaccines
J07AF01	difteeria toksoid	Diphtheria toxoid
J07AG	Haemophilus influenzae B vaktsiinid	Hemophilus influenzae B vaccines
J07AG01	haemophilus influenzae B, konjugeeritud, puhastatud antigeen	Haemophilus influenzae B, purified antigen conjugated
J07AH	Meningokokkvaktsiinid	Meningococcal vaccines
J07AH03	meningokokk, bivalentne puhastatud polüsahhariidantigeen	meningococcus, bivalent purified polysaccharides antigen
J07AH04	meningokokk, tetravalentne puhastatud  polüsahhariidantigeen	meningococcus, tetravalent purified polysaccharides antigen
J07AH07	meningokokk C, konjugeeritud puhastatud polüsahhariidantigeen	Meningococcus C, purified polysachharide antigen conjugated
J07AH08	meningokokk, tetravalentne konjugeeritud puhastatud polüsahhariidantigeen	Meningococcus, tetravalent purified polysaccharides antigen conjugated
J07AH09	menigokokk B, mitmekomponendiline vaktsiin	Meningococcus B, multicomponent vaccine
J07AH80	meningokokk C, konjugeeritud puhastatud polüsahhariidantigeen+teetanuse toksoid	Meningococcus C, purified polysachharide antigen conjugated+Tetanus toxoid
J07AH82	meningokokk, tetravalentne konjugeeritud puhastatud polüsahhariidantigeen	Meningococcus, tetravalent purified polysaccharides antigen conjugated
J07AJ	Läkaköhavaktsiinid	Pertussis vaccines
J07AJ80	difteeria toksoid+teetanuse toksoid+läkaköha tekitaja, puhastatud antigeen	Diphtheria toxoid+Tetanus toxoid+Pertussis, purified antigen
J07AK	Katkuvaktsiinid	Plague vaccines
J07AL	Pneumokokkvaktsiinid	Pneumococcal vaccines
J07AL01	pneumokokk, puhastatud polüsahhariidantigeen	Pneumococcus, purified polysaccharides antigen
J07AL02	pneumokokk, puhastatud polüsahhariidantigeen, konjugeeritud	Pneumococcus, purified polysaccharides antigen conjugated
J07AL52	pneumokokk, puhastatud polüsahhariidantigeen+haemophilus influenzae, konjugeeritud	Pneumococcus, purified polysaccharides antigen+Haemophilus influenzae, conjugated
J07AM	Teetanusevaktsiinid	Tetanus vaccines
J07AM01	teetanuse toksoid	Tetanus toxoid
J07AM51	teetanuse toksoid+difteeria toksoid	Tetanus toxoid+Diphtheria toxoid
J07AN	Tuberkuloosivaktsiinid	Tuberculosis vaccines
J07AN01	tuberkuloosi tekitaja, elus, nõrgestatud	Tuberculosis, live attenuated
J07AP	Tüüfusevaktsiinid	Typhoid vaccines
J07AP01	kõhutüüfuse tekitaja, suukaudne, elus, nõrgestatud	Typhoid, oral, live attenuated
J07AP03	kõhutüüfuse tekitaja, puhastatud polüsahhariidantigeen	Typhoid, purified polysaccharide antigen
J07AR	Tähnilise tüüfuse vaktsiinid	Typhus (exanthematicus) vaccines
J07AX	Teised bakteriaalsed vaktsiinid	Other bacterial vaccines
J07AX80	difteeria-teetanus-läkaköha	Diphtheria-tetanus-pertussis
J07AX80	difteeria-teetanus-läkaköha	Diphtheria-tetanus-pertussis
J07AX81	multibakteriaalne lüofilisaat	Multibacterial lysat
J07B	VIRAALSED VAKTSIINID	VIRAL VACCINES
J07BA	Entsefaliidivaktsiinid	Encephalitis vaccines
J07BA01	puukentsefaliidi koguviirus, inaktiveeritud	Encephalitis, tick borne, inactivated, whole virus
J07BA02	jaapani entsefaliidi koguviirus, inaktiveeritud	Encephalitis, Japanese, inactivated, whole virus
J07BB	Gripivaktsiinid	Influenza vaccines
J07BB01	gripi koguviirus, inaktiveeritud	Influenza, inactivated, whole virus
J07BB02	gripiviirus, inaktiveeritud, tükeldatud viirus või pinnaantigeen	Influenza, inactivated, split virus or surface antigen
J07BB03	gripiviirus, elus, nõrgestatud	Influenza, live attenuated
J07BC	Hepatiidivaktsiinid	Hepatitis vaccines
J07BC01	hepatiit B viirus, puhastatud antigeen	Hepatitis B, purified antigen
J07BC02	hepatiit A koguviirus, inaktiveeritud	Hepatitis A, inactivated, whole virus
J07BC20	hepatiit A koguviirus, inaktiveeritud	Hepatitis A, inactivated, whole virus
J07BC80	hepatiit A koguviirus, inaktiveeritud+hepatiit B viirus, puhastatud antigeen	Hepatitis A, inactivated, whole virus+Hepatitis B, purified antigen
J07BD	Leetrite vaktsiinid	Measles vaccines
J07BD01	leetrite tekitaja, elus, nõrgestatud	Measles, live attunated
J07BD52	leetrite tekitaja, elus, nõrgestatud+punetiste tekitaja, elus nõrgestatud+mumpsiviirus, elus, nõrgestatud	Measles, live attunated+Rubella, live attenuated+Mumps, live,attenuated
J07BD53	leetrite tekitaja, elus, nõrgestatud+punetiste tekitaja, elus nõrgestatud	Measles, live attunated+Rubella, live attenuated
J07BD54	leetrite tekitaja, elus, nõrgestatud+mumpsiviirus, elus, nõrgestatud+punetiste tekitaja, elus nõrgestatud+tuulerõugete viirus, elus, nõrgestatud	Measles, live attunated+Mumps, live,attenuated+Rubella, live attenuated+Varicella, live attenuated
J07BE	Mumpsivakstiinid	Mumps vaccines
J07BF	Poliomüeliidivaktsiinid	Poliomyelitis vaccines
J07BF02	poliomüeliidiviirus, suukaudne, trivalentne, elus, nõrgestatud	Poliomyelitis oral, trivalent, live attenuated
J07BF03	poliomüeliidi koguviirus, trivalentne, inaktiveeritu	Poliomyelitis, trivalent, inactivated, whole virus
J07BG	Marutõvevaktsiinid	Rabies vaccines
J07BG01	marutõve koguviirus, inaktiveeritud	Rabies, inactivated, whole virus
J07BH	Rotaviirusinfektsiooni vaktsiinid	Rota virus diarrhea vaccines
J07BH01	rotaviirus, elus, nõrgestatud	Rota virus, live attenuated
J07BJ	Punetiste vaktsiinid	Rubella vaccines
J07BJ01	punetiste tekitaja, elus nõrgestatud	Rubella, live attenuated
J07BK	Tuulerõugete ja vöötohatise vaktsiinid	Varicella zoster vaccines
J07BK01	tuulerõugete viirus, elus, nõrgestatud	Varicella, live attenuated
J07BK02	vöötohatise viirus, elus, nõrgestatud	Zoster, live attenuated
J07BL	Kollapalavikuvaktsiinid	Yellow fever vaccines
J07BL01	kollapalaviku tekitaja, elus, nõrgestatud	Yellow fever, live attenuated
J07BM	Papilloomiviiruse vaktsiinid	Papillomavirus vaccines
J07BM01	inimese papilloomiviirus (tüved 6, 11, 16, 18)	Papillomavirus (human types 6, 11, 16, 18)
J07BM02	inimese papilloomiviirus (tüved 16, 18)	Papillomavirus (human types 16, 18)
J07BX	Teised viraalsed vaktsiinid	Other viral vaccines
J07BX80	rõugevaktsiin	Smallpox vaccine
J07C	BAKTERIAALSETE JA VIRAALSETE VAKTSIINIDE KOMBINATSIOONID	BACTERIAL AND VIRAL VACCINES, COMBINED
J07CA	Bakteriaalsete ja viraalsete vaktsiinide kombinatsioonid	Bacterial and viral vaccines, combined
J07CA01	difteeria toksoid+teetanuse toksoid+poliomüeliidi koguviirus, trivalentne, inaktiveeritu	Diphtheria toxoid+Tetanus toxoid+Poliomyelitis, trivalent, inactivated, whole virus
J07CA02	difteeria toksoid+läkaköha tekitaja, puhastatud antigeen+teetanuse toksoid+poliomüeliidi koguviirus, trivalentne, inaktiveeritu	Diphtheria toxoid+Pertussis, purified antigen+Tetanus toxoid+Poliomyelitis, trivalent, inactivated, whole virus
J07CA05	difteeria toksoid+läkaköha tekitaja, puhastatud antigeen+hepatiit B viirus, puhastatud antigeen+teetanuse toksoid	Diphtheria toxoid+Pertussis, purified antigen+Hepatitis B, purified antigen+Tetanus toxoid
J07CA06	difteeria toksoid+teetanuse toksoid+läkaköha tekitaja, puhastatud antigeen+poliomüeliidi koguviirus, trivalentne, inaktiveeritu+haemophilus influenzae B, konjugeeritud, puhastatud antigeen	Diphtheria toxoid+Tetanus toxoid+Pertussis, purified antigen+Poliomyelitis, trivalent, inactivated, whole virus+Haemophilus influenzae B, purified antigen conjugated
J07CA08	haemophilus influenzae B, konjugeeritud, puhastatud antigeen+hepatiit B viirus, puhastatud antigeen	Haemophilus influenzae B, purified antigen conjugated+Hepatitis B, purified antigen
J07CA09	difteeria toksoid+poliomüeliidi koguviirus, trivalentne, inaktiveeritu+läkaköha tekitaja, puhastatud antigeen+haemophilus influenzae B, konjugeeritud, puhastatud antigeen+hepatiit B viirus, puhastatud antigeen+teetanuse toksoid	Diphtheria toxoid+Poliomyelitis, trivalent, inactivated, whole virus+Pertussis, purified antigen+Haemophilus influenzae B, purified antigen conjugated+Hepatitis B, purified antigen+Tetanus toxoid
J07CA11	difteeria toksoid+teetanuse toksoid+läkaköha tekitaja, inaktiveeritud+hepatiit B viirus, puhastatud antigeen+haemophilus influenzae B, konjugeeritud, puhastatud antigeen	Diphtheria toxoid+Tetanus toxoid+Pertussis, inactivated+Hepatitis B, purified antigen+Haemophilus influenzae B, purified antigen conjugated
J07CA12	difteeria toksoid+poliomüeliidi koguviirus, trivalentne, inaktiveeritu+läkaköha tekitaja, puhastatud antigeen+hepatiit B viirus, puhastatud antigeen+teetanuse toksoid	Diphtheria toxoid+Poliomyelitis, trivalent, inactivated, whole virus+Pertussis, purified antigen+Hepatitis B, purified antigen+Tetanus toxoid
J07CA80	difteeria toksoid+hepatiit B viirus, puhastatud antigeen+läkaköha antigeen+Clostridium	Diphtheria toxoid+Hepatitis B, purified antigen+Pertussis antigen+Clostridium
J07CA81	difteeria toksoid+teetanuse toksoid+läkaköha antigeen+haemophilus influenzae B, konjugeeritud, puhastatud antigeen	Diphtheria toxoid+Tetanus toxoid+Pertussis antigen+Haemophilus influenzae B, purified antigen conjugated
J07CA82	difteeria toksoid+poliomüeliit+haemophilus influenzae B, konjugeeritud, puhastatud antigeen+läkaköha tekitaja, puhastatud antigeen+teetanuse toksoid	Diphtheria toxoid+Poliomyelitis+Haemophilus influenzae B, purified antigen conjugated+Pertussis, purified antigen+Tetanus toxoid
J07CA83	difteeria toksoid+poliomüeliidi koguviirus, trivalentne, inaktiveeritu+läkaköha tekitaja, puhastatud antigeen+haemophilus influenzae B, konjugeeritud, puhastatud antigeen+teetanuse toksoid+hepatiit B viirus, puhastatud antigeen	Diphtheria toxoid+Poliomyelitis, trivalent, inactivated, whole virus+Pertussis, purified antigen+Haemophilus influenzae B, purified antigen conjugated+Tetanus toxoid+Hepatitis B, purified antigen
J07CA88	difteeria toksoid	Diphtheria toxoid
J07CA91	difteeria toksoid+teetanuse toksoid+läkaköha tekitaja, puhastatud antigeen+poliomüeliidi koguviirus, trivalentne, inaktiveeritu+haemophilus influenzae B, konjugeeritud, puhastatud antigeen	Diphtheria toxoid+Tetanus toxoid+Pertussis, purified antigen+Poliomyelitis, trivalent, inactivated, whole virus+Haemophilus influenzae B, purified antigen conjugated
J07X	TEISED VAKTSIINID	OTHER VACCINES
L	KASVAJAVASTASED JA IMMUNOMODULEERIVAD AINED	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L01	KASVAJAVASTASED AINED	ANTINEOPLASTIC AGENTS
L01A	ALKÜÜLIVAD AINED	ALKYLATING AGENTS
L01AA	Lämmastikipriidi analoogid	Nitrogen mustard analogues
L01AA01	tsüklofosfamiid	Cyclophosphamide
L01AA02	kloorambutsiil	Chlorambucil
L01AA03	melfalaan	Melphalan
L01AA05	kloormetiin	Chlormethine
L01AA06	ifosfamiid	Ifosfamide
L01AA07	trofosfamiid	Trofosfamide
L01AA08	prednimustiin	Prednimustine
L01AA09	bendamustiin	Bendamustine
L01AB	Alküülsulfonaadid	Alkyl sulfonates
L01AB01	busulfaan	Busulfan
L01AB02	treosulfaan	Treosulfan
L01AB03	mannosulfaan	Mannosulfan
L01AC	Etüleenimiinid	Ethylene imines
L01AC01	tiotepa	Thiotepa
L01AC02	triasikvoon	Triaziquone
L01AC03	karbokvoon	Carboquone
L01AD	Nitrosouuread	Nitrosoureas
L01AD01	karmustiin	Carmustine
L01AD02	lomustiin	Lomustine
L01AD03	semustiin	Semustine
L01AD04	streptosotsiin	Streptozocin
L01AD05	fotemustiin	Fotemustine
L01AD06	nimustiin	Nimustine
L01AD07	ranimustiin	Ranimustine
L01AG	Epoksiidid	Epoxides
L01AG01	etoglutsiid	Etoglucid
L01AX	Teised alküülivad ained	Other alkylating agents
L01AX01	mitobronitool	Mitobronitol
L01AX02	pipobromaan	Pipobroman
L01AX03	temosolomiid	Temozolomide
L01AX04	dakarbasiin	Dacarbazine
L01B	ANTIMETABOLIIDID	ANTIMETABOLITES
L01BA	Foolhappe analoogid	Folic acid analogues
L01BA01	metotreksaat	Methotrexate
L01BA03	raltitrekseed	Raltitrexed
L01BA04	pemetreksed	Pemetrexed
L01BB	Puriini analoogid	Purine analogues
L01BB02	merkaptopuriin	Mercaptopurine
L01BB03	tioguaniin	Tioguanine
L01BB04	kladribiin	Cladribine
L01BB05	fludarabiin	Fludarabine
L01BB06	klofarabiin	Clofarabine
L01BB07	nelarabiin	Nelarabine
L01BC	Pürimidiini analoogid	Pyrimidine analogues
L01BC01	tsütarabiin	Cytarabine
L01BC02	fluorouratsiil	Fluorouracil
L01BC03	tegafuur	Tegafur
L01BC04	karmofuur	Carmofur
L01BC05	gemtsitabiin	Gemcitabine
L01BC06	kapetsitabiin	Capecitabine
L01BC07	asatsitidiin	Azacitidine
L01BC08	detsitabiin	Decitabine
L01BC80	tegafuur+uratsiil	Tegafur+Uracil
L01BC81	tegafuur+gimeratsiil+oteratsiil	Tegafur+Gimeracil+Oteracil
L01BC82	fluorouratsiil+salitsüülhape	Fluorouracil+Salicylic acid
L01C	TAIMSED ALKALOIDID JA TEISED LOODUSLIKUD AINED	PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS
L01CA	Igihalja (Vinca) alkaloidid ja analoogid	Vinca alkaloids and analogues
L01CA01	vinblastiin	Vinblastine
L01CA02	vinkristiin	Vincristine
L01CA03	vindesiin	Vindesine
L01CA04	vinorelbiin	Vinorelbine
L01CA05	vinfluniin	Vinflunine
L01CB	Podofüllotoksiini derivaadid	Podophyllotoxin derivatives
L01CB01	etoposiid	Etoposide
L01CB02	teniposiid	Teniposide
L01CC	Kolhitsiini derivaadid	Colchicine derivatives
L01CD	Taksaanid	Taxanes
L01CD01	paklitakseel	Paclitaxel
L01CD02	dotsetakseel	Docetaxel
L01CD04	kabasitakseel	Cabazitaxel
L01CX	Teised taimsed alkaloidid ja looduslikud ained	Other plant alkaloids and natural products
L01CX01	trabektediin	Trabectedin
L01CX80	puuvõõrik	Mistletoe
L01D	TSÜTOTOKSILISED ANTIBIOOTIKUMID JA SARNASED AINED	CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES
L01DA	Aktinomütsiinid	Actinomycines
L01DA01	daktinomütsiin	Dactinomycin
L01DB	Antratsükliinid ja sarnased ained	Anthracyclines and related substances
L01DB01	doksorubitsiin	Doxorubicin
L01DB02	daunorubitsiin	Daunorubicin
L01DB03	epirubitsiin	Epirubicin
L01DB04	aklarubitsiin	Aclarubicin
L01DB05	zorubitsiin	Zorubicin
L01DB06	idarubitsiin	Idarubicin
L01DB07	mitoksantroon	Mitoxantrone
L01DB08	pirarubitsiin	Pirarubicin
L01DB11	piksantroon	Pixantrone
L01DC	Teised tsütotoksilised antibiootikumid	Other cytotoxic antibiotics
L01DC01	bleomütsiin	Bleomycin
L01DC02	plikamütsiin	Plicamycin
L01DC03	mitomütsiin	Mitomycin
L01DC04	iksabepiloon	Ixabepilone
L01X	TEISED KASVAJAVASTASED AINED	OTHER ANTINEOPLASTIC AGENTS
L01XA	Plaatinaühendid	Platinum compounds
L01XA01	tsisplatiin	Cisplatin
L01XA02	karboplatiin	Carboplatin
L01XA03	oksaliplatiin	Oxaliplatin
L01XB	Metüülhüdrasiinid	Methylhydrazines
L01XB01	prokarbasiin	Procarbazine
L01XC	Monoklonaalsed antikehad	Monoclonal antibodies
L01XC02	rituksimab	Rituximab
L01XC03	trastuzumab	Trastuzumab
L01XC04	alemtuzumab	Alemtuzumab
L01XC05	gemtuzumab	Gemtuzumab
L01XC06	tsetuksimab	Cetuximab
L01XC07	bevatsizumab	Bevacizumab
L01XC08	panitumumab	Panitumumab
L01XC09	katumaksomab	Catumaxomab
L01XC10	ofatumumab	Ofatumumab
L01XC11	ipilimumab	Ipilimumab
L01XC12	brentuksimabvedotiin	brentuksimabvedotiin
L01XC13	pertuzumab	Pertuzumab
L01XD	Fotodünaamilises ja kiiritusravis kasutatavad sensibiliseerivad ained	Sensitizers used in photodynamic/radiation therapy
L01XD01	naatriumporfimeer	Porfimer sodium
L01XD03	metüülaminolevulinaat	Methyl aminolevulinate
L01XD04	aminolevuliinhape	Aminolevulinic acid
L01XD05	temoporfiin	Temoporfin
L01XE	Proteiini kinaasi inhibiitorid	Protein kinase inhibitors
L01XE01	imatiniib	Imatinib
L01XE02	gefitiniib	Gefitinib
L01XE03	erlotiniib	Erlotinib
L01XE04	sunitiniib	Sunitinib
L01XE05	sorafeniib	Sorafenib
L01XE06	dasatiniib	Dasatinib
L01XE07	lapatiniib	Lapatinib
L01XE08	nilotiniib	Nilotinib
L01XE09	temsiroliimus	Temsirolimus
L01XE10	everoliimus	Everolimus
L01XE11	pasopaniib	Pazopanib
L01XE12	vandetaniib	Vandetanib
L01XE14	bosutiniib	Bosutinib
L01XE15	vemurafeniib	Vemurafenib
L01XE16	krisotiniib	Crizotinib
L01XE17	Aksitiniib	Axitinib
L01XE18	ruksolitiniib	Ruxolitinib
L01XE22	masitiniib	Masitinib
L01XX	Teised kasvajavastased ained	Other antineoplastic agents
L01XX01	amsakriin	Amsacrine
L01XX02	asparaginaas	Asparaginase
L01XX03	altretamiin	Altretamine
L01XX05	hüdroksükarbamiid	Hydroxycarbamide
L01XX07	lonidamiin	Lonidamine
L01XX08	pentostatiin	Pentostatin
L01XX09	miltefosiin	Miltefosine
L01XX10	masoprokool	Masoprocol
L01XX11	östramustiin	Estramustine
L01XX14	tretinoiin	Tretinoin
L01XX16	mitoguasoon	Mitoguazone
L01XX17	topotekaan	Topotecan
L01XX18	tiasofuriin	Tiazofurine
L01XX19	irinotekaan	Irinotecan
L01XX22	alitretinoiin	Alitretinoin
L01XX23	mitotaan	Mitotane
L01XX24	pegaspargaas	Pegaspargase
L01XX25	beksaroteen	Bexarotene
L01XX27	arseentrioksiid	Arsenic trioxide
L01XX32	bortesomiib	Bortezomib
L01XX33	tselekoksiib	Celecoxib
L01XX35	anagreliid	Anagrelide
L01XX38	vorinostat	Vorinostat
L01XX41	eribuliin	Eribulin
L01XX44	aflibertsept	aflibercept
L01XY	Kasvajavastaste ainete kombinatsioonid	Combinations of antineoplastic agents
L02	ENDOKRINOLOOGILINE RAVI	ENDOCRINE THERAPY
L02A	HORMOONID JA SARNASED AINED	HORMONES AND RELATED AGENTS
L02AA	Östrogeenid	Estrogens
L02AA01	dietüülstilböstrool	Diethylstilbestrol
L02AA02	polüöstradioolfosfaat	Polyestradiol phosphate
L02AA03	etünüülöstradiool	Ethinylestradiol
L02AA04	fosfestrool	Fosfestrol
L02AB	Gestageenid	Progestogens
L02AB01	megestrool	Megestrol
L02AB02	medroksüprogesteroon	Medroxyprogesterone
L02AB03	gestonoroonkaproaat	Gestonorone caproate
L02AE	Gonadotropiini vabastavate hormoonide analoogid	Gonadotropin releasing hormone analogues
L02AE01	busereliin	Buserelin
L02AE02	leuproreliin	Leuprorelin
L02AE03	gosereliin	Goserelin
L02AE04	triptoreliin	Triptorelin
L02AE05	histreliin	Histrelin
L02AX	Teised hormoonid	Other hormones
L02B	HORMOONIDE ANTAGONISTID JA SARNASED AINED	HORMONE ANTAGONISTS AND RELATED AGENTS
L02BA	Antiöstrogeenid	Anti-estrogens
L02BA01	tamoksifeen	Tamoxifen
L02BA02	toremifeen	Toremifene
L02BA03	fulvestrant	Fulvestrant
L02BB	Antiandrogeenid	Anti-androgens
L02BB01	flutamiid	Flutamide
L02BB02	nilutamiid	Nilutamide
L02BB03	bikalutamiid	Bicalutamide
L02BG	Aromataasi inhibiitorid	Aromatase inhibitors
L02BG01	aminogluteetimiid	Aminogluthetimide
L02BG02	formestaan	Formestane
L02BG03	anastrosool	Anastrozole
L02BG04	letrosool	Letrozole
L02BG06	eksemestaan	Exemestane
L02BX	Teised hormoonide antagonistid ja sarnased ained	Other hormone antagonists and related agents
L02BX02	degareliks	Degarelix
L02BX03	abirateroon	Abiraterone
L03	IMMUNOSTIMULAATORID	IMMUNOSTIMULANTS
L03A	IMMUNOSTIMULAATORID	IMMUNOSTIMULANTS
L03AA	Kolooniaid stimuleerivad faktorid	Colony stimulating factors
L03AA02	filgrastiim	Filgrastim
L03AA03	molgramostiim	Molgramostim
L03AA09	sargramostiim	Sargramostim
L03AA10	lenograstiim	Lenograstim
L03AA12	antsestiim	Ancestim
L03AA13	pegfilgrastiim	Pegfilgrastim
L03AA80	arahidoonhape	Arachidonic acid
L03AB	Interferoonid	Interferons
L03AB01	alfainterferoon	Interferon alfa
L03AB02	beetainterferoon	Interferon beta
L03AB03	gammainterferoon	Interferon gamma
L03AB04	alfa-2a-interferoon	Interferon alfa-2a
L03AB05	alfa-2b-interferoon	Interferon alfa-2b
L03AB07	beeta-1a-interferoon	Interferon beta-1a
L03AB08	beeta-1b-interferoon	Interferon beta-1b
L03AB09	alfakon-1 interferoon	Interferon alfacon-1
L03AB10	alfa-2b-peginterferoon	Peginterferon alfa-2b
L03AB11	alfa-2a-peginterferoon	Peginterferon alfa-2a
L03AC	Interleukiinid	Interleukins
L03AC01	aldesleukiin	Aldesleukin
L03AC02	oprelvekiin	Oprelvekin
L03AX	Teised immunostimulaatorid	Other immunostimulants
L03AX02	rokvinimeks	Roquinimex
L03AX03	BCG bakterid	BCG bacteria
L03AX04	pegademaas	Pegademase
L03AX05	pidotimood	Pidotimod
L03AX09	tümopentiin	Thymopentin
L03AX11	tasonermiin	Tasonermin
L03AX13	glatirameeratsetaat	Glatiramer acetate
L03AX14	histamiindihüdrokloriid	Histamine dihydrochloride
L03AX15	mifamurtiid	Mifamurtide
L03AX16	pleriksafoor	Plerixafor
L03AX80	metüüluratsiil	Methyluracil
L03AX81	kridanimood	Cridanomod
L03AX82	escherichia coli lüsaat	Escherichia coli lysate
L04	IMMUNOSUPRESSANDID	IMMUNOSUPPRESSANTS
L04A	IMMUNOSUPRESSANDID	IMMUNOSUPPRESSANTS
L04AA	Selektiivsed immunosupressandid	Selective immunosuppressants
L04AA02	muromonab-CD3	Muromonab-CD3
L04AA03	Lümfotsüütide vastane immunoglobuliin (hobuse)	Antilymphocyte immunoglobulin (horse)
L04AA04	küüliku anti-T-lümfotsüütne immunoglobuliin	Rabbit anti-T-lymphocyte immunoglobulin
L04AA06	mükofenoolhape	Mycophenolic acid
L04AA07	glatirameeratsetaat	Glatiramer acetate
L04AA10	siroliimus	Sirolimus
L04AA13	leflunomiid	Leflunomide
L04AA15	alefatsept	Alefacept
L04AA18	everoliimus	Everolimus
L04AA21	efalizumab	Efalizumab
L04AA23	natalizumab	Natalizumab
L04AA24	abatatsept	Abatacept
L04AA25	ekulizumab	Eculizumab
L04AA26	belimumab	Belimumab
L04AA27	fingolimood	Fingolimod
L04AA28	belatatsept	Belatacept
L04AB	Tuumorinekroosifaktori alfa (TNF- alfa) inhibiitorid	Tumor necrosis factor alpha (TNF-alpha) inhibitors
L04AB01	etanertsept	Etanercept
L04AB02	infliksimab	Infliximab
L04AB04	adalimumab	Adalimumab
L04AB05	tsertolizumab pegool	Certolizumab pegol
